YEAR,MONTH,현지코드,현지화,국가,통화
2026,1,HE1,200000,HKMC,HKD
2026,1,HE2,600000,HKMC,HKD
2026,1,M01,2300000,HKMC,HKD
2026,1,M02,850000,HKMC,HKD
2026,1,M05,1200000,HKMC,HKD
2026,1,M07,2300000,HKMC,HKD
2026,1,M08,0,HKMC,HKD
2026,1,M09,800000,HKMC,HKD
2026,1,M10,2600000,HKMC,HKD
2026,1,M11,1600000,HKMC,HKD
2026,1,M12,0,HKMC,HKD
2026,1,M13,700000,HKMC,HKD
2026,1,M14,2000000,HKMC,HKD
2026,1,M15,850000,HKMC,HKD
2026,1,M16,1100000,HKMC,HKD
2026,1,M17,1200000,HKMC,HKD
2026,1,M18,2400000,HKMC,HKD
2026,1,M19,350000,HKMC,HKD
2026,1,M20,0,HKMC,HKD
2026,1,M21,1200000,HKMC,HKD
2026,1,M22,1000000,HKMC,HKD
2026,1,MC1,3500000,HKMC,HKD
2026,1,MC2,1100000,HKMC,HKD
2026,1,MC3,1900000,HKMC,HKD
2026,1,MC4,850000,HKMC,HKD
2026,1,T01,2300000,HKMC,TWD
2026,1,T02,2800000,HKMC,TWD
2026,1,T03,2700000,HKMC,TWD
2026,1,T04,0,HKMC,TWD
2026,1,T05,0,HKMC,TWD
2026,1,T06,2400000,HKMC,TWD
2026,1,T07,0,HKMC,TWD
2026,1,T08,4800000,HKMC,TWD
2026,1,T09,0,HKMC,TWD
2026,1,T10,3200000,HKMC,TWD
2026,1,T11,1800000,HKMC,TWD
2026,1,T12,3300000,HKMC,TWD
2026,1,T13,1800000,HKMC,TWD
2026,1,T14,2300000,HKMC,TWD
2026,1,T15,0,HKMC,TWD
2026,1,T16,1900000,HKMC,TWD
2026,1,T17,2400000,HKMC,TWD
2026,1,T18,2400000,HKMC,TWD
2026,1,TE1,8220000,HKMC,TWD
2026,1,TE2,6500000,HKMC,TWD
2026,1,TE3,2500000,HKMC,TWD
2026,1,TE4,0,HKMC,TWD
2026,1,TU1,4000000,HKMC,TWD
2026,1,TU2,2600000,HKMC,TWD
2026,1,TU3,6000000,HKMC,TWD
2026,2,HE1,200000,HKMC,HKD
2026,2,HE2,600000,HKMC,HKD
2026,2,M01,2300000,HKMC,HKD
2026,2,M02,850000,HKMC,HKD
2026,2,M05,1200000,HKMC,HKD
2026,2,M07,2300000,HKMC,HKD
2026,2,M08,0,HKMC,HKD
2026,2,M09,800000,HKMC,HKD
2026,2,M10,2600000,HKMC,HKD
2026,2,M11,1600000,HKMC,HKD
2026,2,M12,0,HKMC,HKD
2026,2,M13,700000,HKMC,HKD
2026,2,M14,2000000,HKMC,HKD
2026,2,M15,850000,HKMC,HKD
2026,2,M16,1100000,HKMC,HKD
2026,2,M17,1200000,HKMC,HKD
2026,2,M18,2400000,HKMC,HKD
2026,2,M19,350000,HKMC,HKD
2026,2,M20,0,HKMC,HKD
2026,2,M21,1200000,HKMC,HKD
2026,2,M22,1000000,HKMC,HKD
2026,2,MC1,3500000,HKMC,HKD
2026,2,MC2,1100000,HKMC,HKD
2026,2,MC3,1900000,HKMC,HKD
2026,2,MC4,850000,HKMC,HKD
2026,2,T01,2300000,HKMC,TWD
2026,2,T02,2800000,HKMC,TWD
2026,2,T03,2700000,HKMC,TWD
2026,2,T04,0,HKMC,TWD
2026,2,T05,0,HKMC,TWD
2026,2,T06,2400000,HKMC,TWD
2026,2,T07,0,HKMC,TWD
2026,2,T08,4800000,HKMC,TWD
2026,2,T09,0,HKMC,TWD
2026,2,T10,3200000,HKMC,TWD
2026,2,T11,1800000,HKMC,TWD
2026,2,T12,3300000,HKMC,TWD
2026,2,T13,1800000,HKMC,TWD
2026,2,T14,2300000,HKMC,TWD
2026,2,T15,0,HKMC,TWD
2026,2,T16,1900000,HKMC,TWD
2026,2,T17,2400000,HKMC,TWD
2026,2,T18,2400000,HKMC,TWD
2026,2,TE1,8220000,HKMC,TWD
2026,2,TE2,6500000,HKMC,TWD
2026,2,TE3,2500000,HKMC,TWD
2026,2,TE4,0,HKMC,TWD
2026,2,TU1,4000000,HKMC,TWD
2026,2,TU2,2600000,HKMC,TWD
2026,2,TU3,6000000,HKMC,TWD
