YEAR,MONTH,현지코드,현지화,국가,통화
2026,1,HE1," 200,000 ",HKMC,HKD
2026,1,HE2," 600,000 ",HKMC,HKD
2026,1,M01," 2,300,000 ",HKMC,HKD
2026,1,M02," 850,000 ",HKMC,HKD
2026,1,M05," 1,200,000 ",HKMC,HKD
2026,1,M07," 2,300,000 ",HKMC,HKD
2026,1,M08, - ,HKMC,HKD
2026,1,M09," 800,000 ",HKMC,HKD
2026,1,M10," 2,600,000 ",HKMC,HKD
2026,1,M11," 1,600,000 ",HKMC,HKD
2026,1,M12, - ,HKMC,HKD
2026,1,M13," 700,000 ",HKMC,HKD
2026,1,M14," 2,000,000 ",HKMC,HKD
2026,1,M15," 850,000 ",HKMC,HKD
2026,1,M16," 1,100,000 ",HKMC,HKD
2026,1,M17," 1,200,000 ",HKMC,HKD
2026,1,M18," 2,400,000 ",HKMC,HKD
2026,1,M19," 350,000 ",HKMC,HKD
2026,1,M20, - ,HKMC,HKD
2026,1,M21," 1,200,000 ",HKMC,HKD
2026,1,M22," 1,000,000 ",HKMC,HKD
2026,1,MC1," 3,500,000 ",HKMC,HKD
2026,1,MC2," 1,100,000 ",HKMC,HKD
2026,1,MC3," 1,900,000 ",HKMC,HKD
2026,1,MC4," 850,000 ",HKMC,HKD
2026,1,X01," 800,000 ",HKMC,HKD
2026,1,XE1," 100,000 ",HKMC,HKD
2026,1,T01,2300000,TW,TWD
2026,1,T02,2800000,TW,TWD
2026,1,T03,2700000,TW,TWD
2026,1,T04,0,TW,TWD
2026,1,T05,0,TW,TWD
2026,1,T06,2400000,TW,TWD
2026,1,T07,0,TW,TWD
2026,1,T08,4800000,TW,TWD
2026,1,T09,0,TW,TWD
2026,1,T10,3200000,TW,TWD
2026,1,T11,1800000,TW,TWD
2026,1,T12,3300000,TW,TWD
2026,1,T13,1800000,TW,TWD
2026,1,T14,2300000,TW,TWD
2026,1,T15,0,TW,TWD
2026,1,T16,1900000,TW,TWD
2026,1,T17,2400000,TW,TWD
2026,1,T18,2400000,TW,TWD
2026,1,TE1,8220000,TW,TWD
2026,1,TE2,6500000,TW,TWD
2026,1,TE3,2500000,TW,TWD
2026,1,TE4,0,TW,TWD
2026,1,TU1,4000000,TW,TWD
2026,1,TU2,2600000,TW,TWD
2026,1,TU3,6000000,TW,TWD
2026,1,D01,2750000,TW,TWD
2026,1,D04,950000,TW,TWD
2026,1,D03,2300000,TW,TWD
2026,1,DE1,3000000,TW,TWD
2026,1,DE2,1000000,TW,TWD
2026,2,HE1," 150,000 ",HKMC,HKD
2026,2,HE2," 700,000 ",HKMC,HKD
2026,2,M01," 2,300,000 ",HKMC,HKD
2026,2,M02," 750,000 ",HKMC,HKD
2026,2,M05," 1,050,000 ",HKMC,HKD
2026,2,M07," 2,500,000 ",HKMC,HKD
2026,2,M08, - ,HKMC,HKD
2026,2,M09," 800,000 ",HKMC,HKD
2026,2,M10," 2,800,000 ",HKMC,HKD
2026,2,M11," 1,350,000 ",HKMC,HKD
2026,2,M12, - ,HKMC,HKD
2026,2,M13," 540,000 ",HKMC,HKD
2026,2,M14," 1,900,000 ",HKMC,HKD
2026,2,M15," 900,000 ",HKMC,HKD
2026,2,M16," 800,000 ",HKMC,HKD
2026,2,M17," 1,000,000 ",HKMC,HKD
2026,2,M18," 2,500,000 ",HKMC,HKD
2026,2,M19," 350,000 ",HKMC,HKD
2026,2,M20, - ,HKMC,HKD
2026,2,M21," 1,300,000 ",HKMC,HKD
2026,2,M22," 800,000 ",HKMC,HKD
2026,2,MC1," 4,300,000 ",HKMC,HKD
2026,2,MC2," 1,400,000 ",HKMC,HKD
2026,2,MC3," 2,300,000 ",HKMC,HKD
2026,2,MC4," 1,100,000 ",HKMC,HKD
2026,2,X01," 800,000 ",HKMC,HKD
2026,2,XE1," 100,000 ",HKMC,HKD
2026,2,T01,2200000,TW,TWD
2026,2,T02,3000000,TW,TWD
2026,2,T03,3200000,TW,TWD
2026,2,T04,0,TW,TWD
2026,2,T05,0,TW,TWD
2026,2,T06,2800000,TW,TWD
2026,2,T07,0,TW,TWD
2026,2,T08,4800000,TW,TWD
2026,2,T09,0,TW,TWD
2026,2,T10,2700000,TW,TWD
2026,2,T11,2500000,TW,TWD
2026,2,T12,2500000,TW,TWD
2026,2,T13,1900000,TW,TWD
2026,2,T14,2300000,TW,TWD
2026,2,T15,0,TW,TWD
2026,2,T16,2600000,TW,TWD
2026,2,T17,2800000,TW,TWD
2026,2,T18,3000000,TW,TWD
2026,2,TE1,5000000,TW,TWD
2026,2,TE2,5400000,TW,TWD
2026,2,TE3,2500000,TW,TWD
2026,2,TE4,0,TW,TWD
2026,2,TU1,4000000,TW,TWD
2026,2,TU2,3200000,TW,TWD
2026,2,TU3,5500000,TW,TWD
2026,2,D01,2600000,TW,TWD
2026,2,D04,2400000,TW,TWD
2026,2,D03,800000,TW,TWD
2026,2,DE1,2600000,TW,TWD
2026,2,DE2,1000000,TW,TWD
